code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K3_R1_2,pegged,flip,0,0.01,0.01,0.01,0.01,40,1.000000,0.000061,0.474404,1.000000
K3_R1_2,pegged,flip,0.004,0.01,0.01,0.01,0.01,40,0.999841,0.001311,0.475183,0.999259
K3_R1_2,pegged,flip,0.008,0.01,0.01,0.01,0.01,40,0.993188,0.023497,0.474404,1.000000
K3_R1_2,pegged,flip,0.01,0.01,0.01,0.01,0.01,40,0.979443,0.057410,0.474404,1.000000
K3_R1_2,pegged,flip,0.012,0.01,0.01,0.01,0.01,40,0.959595,0.103443,0.474559,0.999853
K3_R1_2,pegged,flip,0.014,0.01,0.01,0.01,0.01,40,0.927039,0.170661,0.474404,1.000000
K3_R1_2,pegged,flip,0.016,0.01,0.01,0.01,0.01,40,0.903320,0.225335,0.474404,1.000000
K3_R1_2,pegged,flip,0.018,0.01,0.01,0.01,0.01,40,0.851446,0.324062,0.474404,1.000000
K3_R1_2,pegged,flip,0.02,0.01,0.01,0.01,0.01,40,0.832254,0.361926,0.474404,1.000000
K3_R1_2,pegged,flip,0.024,0.01,0.01,0.01,0.01,40,0.733632,0.547616,0.474404,1.000000
K3_R1_2,pegged,flip,0.028,0.01,0.01,0.01,0.01,40,0.652719,0.693498,0.474404,1.000000
K3_R1_2,pegged,flip,0.032,0.01,0.01,0.01,0.01,40,0.606934,0.776799,0.474404,1.000000
K3_R1_2,pegged,flip,0.036,0.01,0.01,0.01,0.01,40,0.569925,0.837112,0.474404,1.000000
K3_R1_2,pegged,flip,0.04,0.01,0.01,0.01,0.01,40,0.534859,0.897393,0.474404,1.000000
K3_R1_2,pegged,flip,0.045,0.01,0.01,0.01,0.01,40,0.511910,0.937773,0.474404,1.000000
K3_R1_2,pegged,flip,0.05,0.01,0.01,0.01,0.01,40,0.498503,0.959210,0.474404,1.000000
K3_R1_2,pegged,flip,0.055,0.01,0.01,0.01,0.01,40,0.485086,0.982532,0.474559,0.999853
K3_R1_2,pegged,flip,0.06,0.01,0.01,0.01,0.01,40,0.484035,0.984466,0.474404,1.000000
K3_R1_2,pegged,flip,0.065,0.01,0.01,0.01,0.01,40,0.478992,0.993471,0.474735,0.999685
K3_R1_2,pegged,flip,0.07,0.01,0.01,0.01,0.01,40,0.476961,0.995729,0.474404,1.000000
K3_R1_2,pegged,flip,0.075,0.01,0.01,0.01,0.01,40,0.476515,0.997057,0.474404,1.000000
K3_R1_2,pegged,flip,0.08,0.01,0.01,0.01,0.01,40,0.475446,0.998399,0.474404,1.000000
K3_R1_2,pegged,flip,0.085,0.01,0.01,0.01,0.01,40,0.474869,0.999200,0.474404,1.000000
K3_R1_2,pegged,flip,0.09,0.01,0.01,0.01,0.01,40,0.474559,0.999779,0.474404,1.000000
K3_R1_2,pegged,flip,0.095,0.01,0.01,0.01,0.01,40,0.474597,0.999634,0.474404,1.000000
K3_R1_2,pegged,flip,0.1,0.01,0.01,0.01,0.01,40,0.474597,0.999670,0.474404,1.000000
K3_R1_2,pegged,flip,0.11,0.01,0.01,0.01,0.01,40,0.474404,1.000000,0.474618,0.999797
K3_R1_2,pegged,flip,0.12,0.01,0.01,0.01,0.01,40,0.474404,1.000000,0.474404,1.000000
K3_R1_2,pegged,insert,0,0.01,0.01,0.01,0.01,40,1.000000,0.000061,0.474404,1.000000
K3_R1_2,pegged,insert,0.002,0.01,0.01,0.01,0.01,40,0.999902,0.001681,0.474404,1.000000
K3_R1_2,pegged,insert,0.004,0.01,0.01,0.01,0.01,40,0.993555,0.018525,0.474404,1.000000
K3_R1_2,pegged,insert,0.006,0.01,0.01,0.01,0.01,40,0.981037,0.049731,0.474617,0.999798
K3_R1_2,pegged,insert,0.008,0.01,0.01,0.01,0.01,40,0.958829,0.098446,0.474404,1.000000
K3_R1_2,pegged,insert,0.01,0.01,0.01,0.01,0.01,40,0.929707,0.161759,0.474404,1.000000
K3_R1_2,pegged,insert,0.012,0.01,0.01,0.01,0.01,40,0.898312,0.226805,0.474404,1.000000
K3_R1_2,pegged,insert,0.015,0.01,0.01,0.01,0.01,40,0.839791,0.340517,0.474404,1.000000
K3_R1_2,pegged,insert,0.018,0.01,0.01,0.01,0.01,40,0.777985,0.457646,0.474404,1.000000
K3_R1_2,pegged,insert,0.021,0.01,0.01,0.01,0.01,40,0.719775,0.567396,0.474404,1.000000
K3_R1_2,pegged,insert,0.025,0.01,0.01,0.01,0.01,40,0.660461,0.675239,0.474404,1.000000
K3_R1_2,pegged,insert,0.029,0.01,0.01,0.01,0.01,40,0.605636,0.772329,0.474404,1.000000
K3_R1_2,pegged,insert,0.033,0.01,0.01,0.01,0.01,40,0.568523,0.836465,0.474404,1.000000
K3_R1_2,pegged,insert,0.038,0.01,0.01,0.01,0.01,40,0.539777,0.888040,0.474404,1.000000
K3_R1_2,pegged,insert,0.043,0.01,0.01,0.01,0.01,40,0.514903,0.931148,0.474404,1.000000
K3_R1_2,pegged,insert,0.05,0.01,0.01,0.01,0.01,40,0.495333,0.966069,0.474404,1.000000
