code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K3_R1_2,matched,flip,0,0,0.01,0.01,0.01,40,1.000000,0.000000,0.164442,0.924969
K3_R1_2,matched,flip,0.004,0.004,0.01,0.01,0.01,40,1.000000,0.000000,0.209569,0.927435
K3_R1_2,matched,flip,0.008,0.008,0.01,0.01,0.01,40,1.000000,0.000000,0.252802,0.929398
K3_R1_2,matched,flip,0.01,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.274379,0.928447
K3_R1_2,matched,flip,0.012,0.012,0.01,0.01,0.01,40,1.000000,0.000000,0.293545,0.932618
K3_R1_2,matched,flip,0.014,0.014,0.01,0.01,0.01,40,1.000000,0.000000,0.314606,0.930267
K3_R1_2,matched,flip,0.016,0.016,0.01,0.01,0.01,40,1.000000,0.000000,0.335670,0.926326
K3_R1_2,matched,flip,0.018,0.018,0.01,0.01,0.01,40,1.000000,0.000000,0.353991,0.928882
K3_R1_2,matched,flip,0.02,0.02,0.01,0.01,0.01,40,1.000000,0.000000,0.371328,0.933151
K3_R1_2,matched,flip,0.024,0.024,0.01,0.01,0.01,40,1.000000,0.000000,0.408997,0.928158
K3_R1_2,matched,flip,0.028,0.028,0.01,0.01,0.01,40,1.000000,0.000000,0.445225,0.921326
K3_R1_2,matched,flip,0.032,0.032,0.01,0.01,0.01,40,1.000000,0.000000,0.475179,0.930412
K3_R1_2,matched,flip,0.036,0.036,0.01,0.01,0.01,40,1.000000,0.000000,0.507660,0.924352
K3_R1_2,matched,flip,0.04,0.04,0.01,0.01,0.01,40,1.000000,0.000000,0.535400,0.930682
K3_R1_2,matched,flip,0.045,0.045,0.01,0.01,0.01,40,0.999952,0.000000,0.570666,0.927623
K3_R1_2,matched,flip,0.05,0.05,0.01,0.01,0.01,40,0.999817,0.000000,0.603001,0.927472
K3_R1_2,matched,flip,0.055,0.055,0.01,0.01,0.01,40,0.998099,0.000000,0.633262,0.927127
K3_R1_2,matched,flip,0.06,0.06,0.01,0.01,0.01,40,0.992761,0.000000,0.660489,0.932663
K3_R1_2,matched,flip,0.065,0.065,0.01,0.01,0.01,40,0.981370,0.000000,0.687939,0.926153
K3_R1_2,matched,flip,0.07,0.07,0.01,0.01,0.01,40,0.969435,0.000000,0.712041,0.929048
K3_R1_2,matched,flip,0.075,0.075,0.01,0.01,0.01,40,0.949272,0.000568,0.734565,0.931760
K3_R1_2,matched,flip,0.08,0.08,0.01,0.01,0.01,40,0.942160,0.001325,0.756288,0.928786
K3_R1_2,matched,flip,0.085,0.085,0.01,0.01,0.01,40,0.927102,0.004913,0.776117,0.928777
K3_R1_2,matched,flip,0.09,0.09,0.01,0.01,0.01,40,0.919896,0.019280,0.794557,0.928673
K3_R1_2,matched,flip,0.095,0.095,0.01,0.01,0.01,40,0.915616,0.041671,0.811515,0.930256
K3_R1_2,matched,flip,0.1,0.1,0.01,0.01,0.01,40,0.913444,0.083053,0.828177,0.921604
K3_R1_2,matched,flip,0.11,0.11,0.01,0.01,0.01,40,0.910691,0.221931,0.856245,0.923850
K3_R1_2,matched,flip,0.12,0.12,0.01,0.01,0.01,40,0.915041,0.373747,0.880184,0.927873
K3_R1_2,matched,insert,0,0.01,0,0.01,0.01,40,1.000000,0.000000,0.273797,0.929996
K3_R1_2,matched,insert,0.002,0.01,0.002,0.01,0.01,40,1.000000,0.000000,0.272851,0.932510
K3_R1_2,matched,insert,0.004,0.01,0.004,0.01,0.01,40,1.000000,0.000000,0.272259,0.934081
K3_R1_2,matched,insert,0.006,0.01,0.006,0.01,0.01,40,0.999982,0.000000,0.275379,0.925790
K3_R1_2,matched,insert,0.008,0.01,0.008,0.01,0.01,40,0.999937,0.000000,0.274739,0.927491
K3_R1_2,matched,insert,0.01,0.01,0.01,0.01,0.01,40,0.999804,0.000000,0.273561,0.930621
K3_R1_2,matched,insert,0.012,0.01,0.012,0.01,0.01,40,0.999055,0.000000,0.274737,0.927496
K3_R1_2,matched,insert,0.015,0.01,0.015,0.01,0.01,40,0.996965,0.000000,0.272479,0.933496
K3_R1_2,matched,insert,0.018,0.01,0.018,0.01,0.01,40,0.992489,0.000000,0.275729,0.924859
K3_R1_2,matched,insert,0.021,0.01,0.021,0.01,0.01,40,0.984321,0.000000,0.277871,0.919168
K3_R1_2,matched,insert,0.025,0.01,0.025,0.01,0.01,40,0.971948,0.000000,0.276124,0.923810
K3_R1_2,matched,insert,0.029,0.01,0.029,0.01,0.01,40,0.954452,0.000000,0.275806,0.924656
K3_R1_2,matched,insert,0.033,0.01,0.033,0.01,0.01,40,0.938854,0.000000,0.274166,0.929013
K3_R1_2,matched,insert,0.038,0.01,0.038,0.01,0.01,40,0.905816,0.000000,0.274748,0.927466
K3_R1_2,matched,insert,0.043,0.01,0.043,0.01,0.01,40,0.876550,0.000000,0.274587,0.927895
